TamGrafo,Ktoken,xg,xf_kg,C,xg2,xf_kg2,C2
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
4,2,2,2,0,2,2,0
